objectid,title,filename,format,creator,date,datecreated,description,subject,location,latitude,longitude,source,type,rights,creativecommons,rightsnotes,citation,archivedpage
staggs_image_familylogginghouse,Family in front of a house in a logging camp,staggs_image_familylogginghouse.jpg,image/jpeg,John F. Ford,1910,1910,"A family in front of a log cabin at a lumber camp in the lower Columbia River region. There is a mother, father, son and dog. The son is holding a gun.",Lumber Camps; Workers,Multnomah (county),45.5145659,-122.5863211,"<a href=""https://oregondigital.org/concern/images/df66tx56b"" target=""_blank"">J.F. Ford Photographs - Oregon Digital</a>",Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Family in front of a house in a logging camp,"" John F. Ford. 1910, Oregon State University Libraries and Press, Oregon. Oregon Digital, J.F. Ford Photographs, <a href='https://oregondigital.org/concern/images/df66tx56b' target='_blank'>https://oregondigital.org/concern/images/df66tx56b</a>","<a href=""https://web.archive.org/web/20230521222454/https://oregondigital.org/concern/images/df66tx56b"" target=""_blank"">Archived Page</a>"
staggs_image_interiorsawmill,"Postcard: Interior of an Oregon sawmill, log on a carriage",staggs_image_interiorsawmill.jpg,image/jpeg,Gerald W. Williams,1910,1910,Several loggers are surrounding a log that has been placed on a sawmill in a hand colored photograph on a postcard.,Postcard; Forests and forestry—Equipment and supplies; Workers; Logging,Coos (county),43.242897,-124.105737,"<a href=""https://oregondigital.org/concern/images/df66v505g"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Postcard: Interior of an Oregon sawmill, log on a carriage,"" Gerald W. Williams. 1910, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66v505g' target='_blank'>https://oregondigital.org/concern/images/df66v505g</a>","<a href=""https://web.archive.org/web/20230521222815/https://oregondigital.org/concern/images/df66v505g"" target=""_blank"">Archived Page</a>"
staggs_image_logsrailroadcar,Postcard: Logs on a railroad car,staggs_image_logsrailroadcar.jpg,image/jpeg,Gerald W. Williams,1915,1915,The front of a postcard shows 3 logs that have been loaded onto a railroad cart. The railroad cart is sitting on a set of railroad tracks.,Postcard; Logging railroads,Coos (county),43.242897,-124.105737,"<a href=""https://oregondigital.org/concern/images/df66v429v"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Logs on a railroad car,"" Gerald W. Williams. 1915, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66v429v' target='_blank'>https://oregondigital.org/concern/images/df66v429v</a>","<a href=""https://web.archive.org/web/20230521231345/https://oregondigital.org/concern/images/df66v429v"" target=""_blank"">Archived Page</a>"
staggs_image_palmercamp,"Palmer Camp at Lookingglass, Oregon",staggs_image_palmercamp.jpg,image/jpeg,Gerald W. Williams,1908,1908,Several loggers and their horses are gathered in the center of the Palmer Camp lumber camp. There is a steam engine train in the background that runs through the camp.,Lumber Camps; Animals in logging; Railroad trains,Lookingglass (inhabited place),43.1786109,-123.485,"<a href=""https://oregondigital.org/concern/images/df66w515w"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Palmer Camp at Lookingglass, Oregon,"" Gerald W. Williams. 1908, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66w515w' target='_blank'>https://oregondigital.org/concern/images/df66w515w</a>","<a href=""https://web.archive.org/web/20230521231006/https://oregondigital.org/concern/images/df66w515w"" target=""_blank"">Archived Page</a>"
staggs_image_railroadlogsverso_002,Postcard - Verso: Railroad car with logs,staggs_image_railroadlogsverso_002.jpg,image/jpeg,Gerald W. Williams,1908,1908,"This is the backside of a postcard. The writing describes the location of the image on the front of the postcard, where that is in relation to the writer's location and the types of logs in the image.",Postcard; Logging,Portland (inhabited place),45.515232,-122.6783853,"<a href=""https://oregondigital.org/concern/images/df66tx285"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Postcard - Verso: Railroad car with logs"" Gerald W. Williams. 1908, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66tx285' target='_blank'>https://oregondigital.org/concern/images/df66tx285</a>","<a href=""https://web.archive.org/web/20230521231558/https://oregondigital.org/concern/images/df66tx285"" target=""_blank"">Archived Page</a>"
staggs_image_sprucelogjack,A spruce log on a log jack,staggs_image_sprucelogjack.jpg,image/jpeg,Corydon P. Cronk,1911,1910/1911,"In this image, a spruce log is resting on a log jack. The sawmill where the photograph was taken is Smith Mill, located in what was once Marshfield, OR - known today as Coos Bay, OR.",Forests and forestry—Equipment and supplies; Conifers; Logging,Coos Bay (inhabited place),43.3672213,-124.2131325,"<a href=""https://oregondigital.org/concern/images/df67q7840"" target=""_blank"">The Siuslaw National Forest Collection - Oregon Digital</a>",Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""A spruce log on a log jacks,"" Corydon P. Cronk. 1910/1911, Oregon State University Libraries and Press, Oregon. Oregon Digital, The Siuslaw National Forest Collection, <a href='https://oregondigital.org/concern/images/df67q7840' target='_blank'>https://oregondigital.org/concern/images/df67q7840</a>","<a href=""https://web.archive.org/web/20230521231727/https://oregondigital.org/concern/images/df67q7840"" target=""_blank"">Archived Page</a>"
staggs_image_donkeyengine,Men surrounding a donkey engine,staggs_image_donkeyengine.jpg,image/jpeg,Gerald W. Williams,1915,1915,"The image shows several loggers standing around a donkey engine - a piece of equipment used to lift drag, move, and load logs. In the background there are several trees that seem to have been cut down and several pieces of chopped wood. There are also two donkeys standing on the side of the men.",Forests and forestry—Equipment and supplies; Logging; Animals in Logging; Workers,Multnomah (county),45.5145659,-122.5863211,"<a href=""https://oregondigital.org/concern/images/df66vb91k"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Men surrounding a donkey engine,"" Gerald W. Williams. 1915, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66vb91k' target='_blank'>https://oregondigital.org/concern/images/df66vb91k</a>","<a href=""https://web.archive.org/web/20230521231900/https://oregondigital.org/concern/images/df66vb91k"" target=""_blank"">Archived Page</a>"
